分类: 卫视频道, 名称: 青海卫视, 总数: 56, 有效: 9, 有效率: 16.07%, IPv4: 50, IPv6: 6, 最小延迟: 590 ms, 最高速率: 7.73 M/s, 平均速率: 4.89 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.14, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 山东卫视, 总数: 64, 有效: 11, 有效率: 17.19%, IPv4: 55, IPv6: 9, 最小延迟: 128 ms, 最高速率: 108.06 M/s, 平均速率: 14.14 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.64, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 山西卫视, 总数: 42, 有效: 11, 有效率: 26.19%, IPv4: 38, IPv6: 4, 最小延迟: 170 ms, 最高速率: 89.84 M/s, 平均速率: 16.23 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 陕西卫视, 总数: 53, 有效: 12, 有效率: 22.64%, IPv4: 47, IPv6: 6, 最小延迟: 641 ms, 最高速率: 20.63 M/s, 平均速率: 9.63 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 四川卫视, 总数: 75, 有效: 11, 有效率: 14.67%, IPv4: 67, IPv6: 8, 最小延迟: 59 ms, 最高速率: 60.88 M/s, 平均速率: 8.49 M/s, 最高分辨率: 3840x2160, 平均帧率: 28.85, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 深圳卫视, 总数: 83, 有效: 19, 有效率: 22.89%, IPv4: 75, IPv6: 8, 最小延迟: 126 ms, 最高速率: 121.37 M/s, 平均速率: 19.23 M/s, 最高分辨率: 3840x2160, 平均帧率: 36.11, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 三沙卫视, 总数: 33, 有效: 6, 有效率: 18.18%, IPv4: 32, IPv6: 1, 最小延迟: 798 ms, 最高速率: 6.41 M/s, 平均速率: 5.24 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 天津卫视, 总数: 79, 有效: 15, 有效率: 18.99%, IPv4: 67, IPv6: 12, 最小延迟: 355 ms, 最高速率: 8.22 M/s, 平均速率: 3.92 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.71, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 西藏卫视, 总数: 30, 有效: 7, 有效率: 23.33%, IPv4: 27, IPv6: 3, 最小延迟: 542 ms, 最高速率: 20.03 M/s, 平均速率: 9.68 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 新疆卫视, 总数: 42, 有效: 13, 有效率: 30.95%, IPv4: 35, IPv6: 7, 最小延迟: 586 ms, 最高速率: 7.77 M/s, 平均速率: 5.65 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 广东频道, 名称: 汕头综合, 总数: 25, 有效: 0, 有效率: 0.00%, IPv4: 24, IPv6: 1, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视频道, 名称: 云南卫视, 总数: 55, 有效: 8, 有效率: 14.55%, IPv4: 50, IPv6: 5, 最小延迟: 74 ms, 最高速率: 56.53 M/s, 平均速率: 4.64 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.42, 视频编解码器: h264, 音频编解码器: mp2
分类: 广东频道, 名称: 汕头经济生活, 总数: 26, 有效: 1, 有效率: 3.85%, IPv4: 25, IPv6: 1, 最小延迟: 7 ms, 最高速率: 106.37 M/s, 平均速率: 106.37 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 广东频道, 名称: 广东珠江, 总数: 66, 有效: 2, 有效率: 3.03%, IPv4: 59, IPv6: 7, 最小延迟: 467 ms, 最高速率: 18.51 M/s, 平均速率: 14.06 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 广东频道, 名称: 广东体育, 总数: 63, 有效: 7, 有效率: 11.11%, IPv4: 56, IPv6: 7, 最小延迟: 50 ms, 最高速率: 174.17 M/s, 平均速率: 55.96 M/s, 最高分辨率: 3840x2160, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 广东频道, 名称: 广东新闻, 总数: 53, 有效: 0, 有效率: 0.00%, IPv4: 51, IPv6: 2, 最小延迟: 459 ms, 最高速率: 7.35 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 广东频道, 名称: 广东民生, 总数: 44, 有效: 0, 有效率: 0.00%, IPv4: 42, IPv6: 2, 最小延迟: 470 ms, 最高速率: 3.84 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 广东频道, 名称: 广州竞赛, 总数: 2, 有效: 0, 有效率: 0.00%, IPv4: 1, IPv6: 1, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 广东频道, 名称: 广州综合, 总数: 10, 有效: 1, 有效率: 10.00%, IPv4: 6, IPv6: 4, 最小延迟: 109 ms, 最高速率: 5.89 M/s, 平均速率: 5.89 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 港台频道, 名称: 凤凰香港, 总数: 13, 有效: 5, 有效率: 38.46%, IPv4: 8, IPv6: 5, 最小延迟: 55 ms, 最高速率: 110.45 M/s, 平均速率: 60.52 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.00, 视频编解码器: hevc, 音频编解码器: aac
分类: 广东频道, 名称: 广州影视, 总数: 3, 有效: 0, 有效率: 0.00%, IPv4: 1, IPv6: 2, 最小延迟: 23 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: aac
分类: 港台频道, 名称: 华丽翡翠台, 总数: 3, 有效: 3, 有效率: 100.00%, IPv4: 1, IPv6: 2, 最小延迟: 92 ms, 最高速率: 52.00 M/s, 平均速率: 44.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 港台频道, 名称: 无线新闻台, 总数: 15, 有效: 4, 有效率: 26.67%, IPv4: 7, IPv6: 8, 最小延迟: 60 ms, 最高速率: 58.27 M/s, 平均速率: 37.11 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.00, 视频编解码器: h264, 音频编解码器: aac
分类: 港台频道, 名称: TVB1, 总数: 3, 有效: 2, 有效率: 66.67%, IPv4: 1, IPv6: 2, 最小延迟: 102 ms, 最高速率: 60.51 M/s, 平均速率: 39.50 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 港台频道, 名称: TVBJ, 总数: 1, 有效: 1, 有效率: 100.00%, IPv4: 0, IPv6: 1, 最小延迟: 113 ms, 最高速率: 55.08 M/s, 平均速率: 55.08 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.97, 视频编解码器: h264, 音频编解码器: aac
分类: 港台频道, 名称: 翡翠台, 总数: 25, 有效: 13, 有效率: 52.00%, IPv4: 10, IPv6: 15, 最小延迟: 69 ms, 最高速率: 143.99 M/s, 平均速率: 66.84 M/s, 最高分辨率: 3840x2160, 平均帧率: 40.77, 视频编解码器: h264, 音频编解码器: aac
分类: 港台频道, 名称: 明珠台, 总数: 13, 有效: 7, 有效率: 53.85%, IPv4: 4, IPv6: 9, 最小延迟: 59 ms, 最高速率: 35.19 M/s, 平均速率: 26.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 港台频道, 名称: TVB星河, 总数: 6, 有效: 3, 有效率: 50.00%, IPv4: 2, IPv6: 4, 最小延迟: 96 ms, 最高速率: 37.47 M/s, 平均速率: 32.59 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 港台频道, 名称: TVBS亚洲, 总数: 2, 有效: 2, 有效率: 100.00%, IPv4: 1, IPv6: 1, 最小延迟: 387 ms, 最高速率: 15.18 M/s, 平均速率: 7.99 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 港台频道, 名称: TVBS, 总数: 5, 有效: 2, 有效率: 40.00%, IPv4: 4, IPv6: 1, 最小延迟: 426 ms, 最高速率: 14.83 M/s, 平均速率: 7.73 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.31, 视频编解码器: h264, 音频编解码器: aac
分类: 港台频道, 名称: TVBS精采台, 总数: 1, 有效: 1, 有效率: 100.00%, IPv4: 0, IPv6: 1, 最小延迟: 1344 ms, 最高速率: 2.78 M/s, 平均速率: 2.78 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 港台频道, 名称: TVBS欢乐台, 总数: 1, 有效: 1, 有效率: 100.00%, IPv4: 0, IPv6: 1, 最小延迟: 197 ms, 最高速率: 6.26 M/s, 平均速率: 6.26 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
